term	cat
preschool	EARLY CHILDHOOD EDUCATION
pre school	EARLY CHILDHOOD EDUCATION
kindergarten	EARLY CHILDHOOD EDUCATION
kindergartener	EARLY CHILDHOOD EDUCATION
early childhood education	EARLY CHILDHOOD EDUCATION
head start	EARLY CHILDHOOD EDUCATION
pre k	EARLY CHILDHOOD EDUCATION
pre kindergarden	EARLY CHILDHOOD EDUCATION
school	SCHOOLS
academy	SCHOOLS
college	POSTSECONDARY EDUCATION
university	POSTSECONDARY EDUCATION
professor	POSTSECONDARY EDUCATION
higher education	POSTSECONDARY EDUCATION
post secondary education	POSTSECONDARY EDUCATION
postsecondary education	POSTSECONDARY EDUCATION
law school	POSTSECONDARY EDUCATION
medical school	POSTSECONDARY EDUCATION
graduate school	POSTSECONDARY EDUCATION
bachelor degree	POSTSECONDARY EDUCATION
master degree	POSTSECONDARY EDUCATION
doctorate	POSTSECONDARY EDUCATION
education reform	EDUCATION REFORM
education reformer	EDUCATION REFORM
educational reforms	EDUCATION REFORM
education funding reform	EDUCATION REFORM
school reform	EDUCATION REFORM
new curriculum	EDUCATION REFORM
literacy	LITERACY
literate	LITERACY
illiterate	LITERACY
illiterates	LITERACY
illiteracy	LITERACY
tourism	TOURISM
touristry	TOURISM
traveler	TOURISM
holidaymaker	TOURISM
tourer	TOURISM
tourist	TOURISM
oil	OIL
light sweet crude	OIL
heavy crude	OIL
petroleum	OIL
tar sand	OIL
gasoline	OIL
diesel fuel	OIL
jet fuel	OIL
kerosene	OIL
petrol	OIL
vehicle fuel	OIL
fuel oil	OIL
fossil oil	OIL
coal	COAL
anthracite	COAL
lignite	COAL
bituminous	COAL
methane	NATURAL GAS
natural gas	NATURAL GAS
frack	NATURAL GAS
fracking	NATURAL GAS
shale gas	NATURAL GAS
nuclear energy	NUCLEAR ENERGY
nuclear reactor	NUCLEAR ENERGY
nuclear plant	NUCLEAR ENERGY
nuclear power	NUCLEAR ENERGY
solar panel	RENEWABLE ENERGY
photovoltaic	RENEWABLE ENERGY
solar power	RENEWABLE ENERGY
solar power	RENEWABLE ENERGY
solar energy	RENEWABLE ENERGY
wind turbine	RENEWABLE ENERGY
wind farm	RENEWABLE ENERGY
wind power	RENEWABLE ENERGY
hydroelectric	RENEWABLE ENERGY
hydroelectricity	RENEWABLE ENERGY
hydropower	RENEWABLE ENERGY
biomass	RENEWABLE ENERGY
biofuel	RENEWABLE ENERGY
geothermal energy	RENEWABLE ENERGY
geothermal power	RENEWABLE ENERGY
south to south	SOUTH-TO-SOUTH
south-to-south	SOUTH-TO-SOUTH
knowledge exchange	SOUTH-TO-SOUTH
foreign aid	FOREIGN AID
development assistance	FOREIGN AID
